SN,District,Municipality,Ward Number,Town/Village Name,Tole,Latitude,Longitude,Source Name,Source Type,Ownership,Surrounding Environment (Landuse),Plant Species around Water Source,Source Condition,Perennial / Seasonal,Dried since how many years?,Reason of drying,"After this source dried up , was there any activity for revival done in this source?",List the activities done for source revival,What was done after source was dried up?,Source Condition,Nature of discharge,Water emergence point,"Volume of bucket /bottle (1, 2, 5, 10 or 20 litre)",Time to fill (seconds),Approx. distance from the nearest dependent household (metre),One-way water fetching time (minutes),How much time did it take to fill the Jar of 20 liter before 10 yr? (minutes),Current time to fill 20 liter jar (minutes),Trend of spring discharge,Pond area (square metre),Pond depth (metre),Pond area 10 years earlier (square metre),Pond depth10 years earlier (metre),Perception on source water quality,Perception on source water quality change,Is this source in use?,Purpose of use,No. of households dependent on this source,Ethnicity of users,No. of households dependent on this source only,Ethnicity of users dependent on this source only,Any impact due to 2015 earthquake?,Is this source tapped?,Supplied to same Municipality or different?,Supplied to same ward or different wards?,Is water source significant for cultural/religious purpose?,List the events associated with sources,Is this source accessible to everyone in community? (in term of use access),If not who are restricted?,Are there water user groups for management?,User group type,Who is the chairperson?,Women in leadership position,Any spring revival / pond protection measures taken?,What measures have been taken?,Remarks (source specific comment)
4395,Kavrepalanchowk,Dhulikhel,3,Acharya gau ,Prahari tole ,27.6312433333333,85.5528266666667,Road ko bhitta ko mul 1 ,spring,private,agriculture,"Timilo , banmara , uttiss ",active,perennial,,,,,,open_kuwa,seepage,rock,1,60,500,20,10,20,decreasing,,,,,good,no_change,no,,,,,,no_change,no,,,no,,yes,,no,,,,no,,no
4396,Kavrepalanchowk,Dhulikhel,3,Acharya gau,Prahari tole,27.6311916666667,85.5526716666667,Road ko bhitta ko mul 2 ,spring,private,sparse_forest,"Kutmiro,  banmara , timilo",active,perennial,,,,,,open_kuwa,flowing,rock,1,60,600,30,8,20,decreasing,,,,,good,no_change,no,,,,,,no_change,no,,,no,,yes,,no,,,,no,,No
4397,Kavrepalanchowk,Dhulikhel,3,Acharya gau,Prahari tole ,27.6311466666667,85.5526383333333,Road ko bhitta ko mul 3 ,spring,private,sparse_forest,"Timilo, khaneu , kutmiro",active,perennial,,,,,,open_kuwa,seepage,interface between rock and sediment,1,65,600,30,10,23,decreasing,,,,,good,no_change,no,,,,,,no_change,no,,,no,,yes,,no,,,,no,,no
4398,Kavrepalanchowk,Dhulikhel,3,Acharya gau ,Prahari tole,27.6309583333333,85.5523983333333,road ko bhitta ko mul 4,spring,private,sparse_forest,"Banmara , titepati , kimmu",active,perennial,,,,,,open_kuwa,seepage,rock,1,120,450,20,20,40,decreasing,,,,,good,no_change,no,,,,,,no_change,no,,,no,,yes,,no,,,,no,,aabebasthit mul
4399,Kavrepalanchowk,Dhulikhel,3,acharya gau ,Prahari tole,27.63088,85.5523166666667,road ko bhitta ko mul 5,spring,private,sparse_forest,"paiyeu , banmara , titepati ",dried,perennial,2076,Infrastructure Development,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4400,Kavrepalanchowk,Dhulikhel,3,Acharya gau ,Prahari tole,27.6308466666667,85.552295,Pidalu jhyang ko mul,spring,private,sparse_forest,"Pidalu , titepati , uttiss ",active,perennial,,,,,,open_kuwa,seepage,interface between rock and sediment,1,30,400,15,10,10,same,,,,,good,no_change,no,,,,,,no_change,no,,,no,,yes,,no,,,,no,,no
4401,Kavrepalanchowk,Dhulikhel,3,Nayabasti ,chankhu besi,27.62887,85.5557816666667,bishwash daii ko mul,spring,private,sparse_forest,"Kattus , titepati , pani aamala ",dried,perennial,2076,Infrastructure Development,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4402,Kavrepalanchowk,Dhulikhel,3,Nayabasti,Chankhubesi,27.6285866666667,85.555445,Basnet dai ko mul,spring,private,settlement,"Cattus , uttis, chilaune",active,perennial,,,,,,open_kuwa,seepage,soil/sediment,1,60,600,25,10,20,decreasing,,,,,good,no_change,yes,"household,livestock,drinking",4,"BCTS,Newar",,,no_change,no,,,no,,yes,,no,,,,no,,no
4403,Kavrepalanchowk,Dhulikhel,7,Dhulikhel,O tole,27.618095,85.5527016666667,Narayanistit raheko ara,spring,public,settlement,Banmara,dried,perennial,2060,Infrastructure Development,no,,"new_source_identification,tanker_dependence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4404,Kavrepalanchowk,Dhulikhel,7,Dhulikhel,Narathhan,27.61842,85.5523683333333,Narathhan harisiddi ma raheko dara,spring,public,settlement,Flowers,dried,perennial,2050,Infrastructure Development,no,,"new_source_identification,tanker_dependence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4405,Kavrepalanchowk,Dhulikhel,2,Rabi,Sungre,27.63282949,85.52562051,Sugre kholso,spring,community,dense_forest,"Kalimunte,katus, celune",active,perennial,,,,,,open_kuwa,seepage,interface between rock and sediment,1,1200,100,15,5,400,decreasing,,,,,good,degraded,no,,,,,,Degraded,no,,,no,,yes,,no,,,,no,,Marmat ko aabssekta xa
4406,Kavrepalanchowk,Dhulikhel,10,Phaskot,Tar,27.5898593789407,85.5619149224839,Seti pokhari ,spring,private,agriculture,Payau,active,perennial,,,,,,open_kuwa,seepage,interface between rock and sediment,1,60,9,2,20,20,same,,,,,good,no_change,yes,agriculture,1,Janajati,1,Janajati,no_change,no,,,no,,yes,,no,,,,no,,
4407,Kavrepalanchowk,Dhulikhel,10,Phaskot,Tar,27.5898595865291,85.5621467579884,Seti pokhari 2,spring,private,agriculture,Payau,active,perennial,,,,,,open_kuwa,seepage,interface between rock and sediment,1,60,9,2,20,20,same,,,,,good,no_change,yes,agriculture,1,Janajati,1,Janajati,no_change,no,,,no,,yes,,no,,,,no,,
4408,Kavrepalanchowk,Dhulikhel,10,Phaskot,Patle,27.5890375578399,85.5628987814635,Patle ,spring,private,agriculture,Uttis,active,perennial,,,,,,open_kuwa,seepage,interface between rock and sediment,1,120,200,10,40,40,same,,,,,good,no_change,no,,,,,,no_change,no,,,no,,yes,,no,,,,no,,
4409,Kavrepalanchowk,Dhulikhel,10,Phaskot,Ping dada,27.5897843685061,85.5645022281196,Okharbot,spring,community,sparse_forest,Chelauni,active,perennial,,,,,,open_kuwa,flowing,soil/sediment,1,60,200,5,20,20,same,,,,,good,no_change,yes,livestock,2,Janajati,2,Janajati,no_change,no,,,no,,yes,,no,,,,no,,
4410,Kavrepalanchowk,Dhulikhel,10,Phaskot,Arjun tole,27.5897581211875,85.5648768046195,Arjun gairo,spring,community,sparse_forest,Chelauni,active,perennial,,,,,,open_kuwa,flowing,soil/sediment,1,180,250,9,60,60,same,,,,,good,no_change,no,,,,,,no_change,no,,,no,,yes,,no,,,,no,,
4411,Kavrepalanchowk,Dhulikhel,8,pakucha,moktan tol,27.620365,85.5694466666667,moktan tolko khane pani,spring,private,agriculture,banara titepati timilo,active,perennial,,,,,,open_kuwa,seepage,soil/sediment,1,10,1250,30,5,7,decreasing,,,,,good,no_change,yes,"drinking,household,livestock",2,Janajati,2,Janajati,decreased,yes,same,same,no,,yes,,no,,,,no,,paniko samasya badeko chha
4412,Kavrepalanchowk,Dhulikhel,8,pakucha,brawari tol,27.6206216666667,85.569195,brawari kuwa,spring,private,agriculture,paiyu banmara kutumute,dried,perennial,2073,earthquake,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4413,Kavrepalanchowk,Dhulikhel,8,pakucha,dhada khet,27.619395,85.5669216666667,dadakhetko kuwa,spring,private,agriculture,bash banmara kutmute,dried,perennial,2077,source_disruption,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4414,Kavrepalanchowk,Dhulikhel,8,pakucha,tallo vle tol,27.6223866666667,85.56631,ghairo kuwa,spring,public,sparse_forest,utish katush  banmara,dried,perennial,2065,Infrastructure Development,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4415,Kavrepalanchowk,Dhulikhel,2,Rabi,Pattal,27.64610559,85.56695041,Patal,spring,public,sparse_forest,"Katus,celaune,utes",dried,perennial,2072,earthquake,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,0,0,0
4416,Kavrepalanchowk,Dhulikhel,2,Rabi,Subba ko kuaa,27.64699604,85.56557578,Subba ko kuaa,spring,public,sparse_forest,"Tetapatee,kutmero,aiselu",dried,perennial,2072,earthquake,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,0,0,0
4417,Kavrepalanchowk,Dhulikhel,2,Rabi,Dhungana tol,27.64858325,85.56517412,Dhungana tol,spring,private,sparse_forest,"Kembu,nayarn patee,tetapatee",active,perennial,,,,,,open_kuwa,seepage,soil/sediment,1,120,200,15,5,40,decreasing,,,,,good,degraded,no,,,,,,decreased,no,,,no,0,yes,0,no,,,,no,0,Samraxad garnnuparna xa
4418,Kavrepalanchowk,Dhulikhel,2,Rabi,Kola gairo,27.64304641,85.56323114,Kola gairo mul,spring,public,sparse_forest,"Tetapatee,kalimunta,kutmero",active,perennial,,,,,,cemented_tank,seepage,soil/sediment,1,25,300,15,5,8,decreasing,,,,,good,improved,yes,"drinking,household,livestock,agriculture",30,BCTS,,,decreased,yes,same,same,no,0,yes,0,no,,,,yes,recharge_pond_construction,Samraxad garnnuparne xa
4419,Kavrepalanchowk,Dhulikhel,2,Rsbi,Alxecaura,27.64059406,85.56435701,Alxecaura ko mul,spring,public,sparse_forest,"Utes,katus,ssl",active,perennial,,,,,,cemented_tank,seepage,soil/sediment,1,55,500,20,2,18,decreasing,,,,,good,improved,yes,"drinking,household,livestock,agriculture",50,BCTS,,,decreased,yes,same,same,no,0,yes,0,no,,,,no,0,Samraxad garnnuparne xa
4420,Kavrepalanchowk,Dhulikhel,2,Rabi,Alxacaura2,27.640724,85.56433972,Alxacaura 2,spring,public,sparse_forest,"Utes,sal,celaune",active,perennial,,,,,,open_kuwa,seepage,soil/sediment,1,55,350,30,3,18,decreasing,,,,,good,degraded,no,,,,,,decreased,no,,,no,0,yes,0,no,,,,no,0,Samraxad garnuuparne xa
4421,Kavrepalanchowk,Dhulikhel,2,Rabi,Alxacaura,27.6408184146356,85.5644897991221,Alxacaura3,spring,public,sparse_forest,"Utes,tetapate,celaune",active,perennial,,,,,,open_kuwa,seepage,soil/sediment,1,40,500,35,5,13,decreasing,,,,,good,no_change,no,,,,,,decreased,no,,,no,0,yes,0,no,,,,no,0,Samraxad garnuuparne xa
4422,Kavrepalanchowk,Dhulikhel,2,Rabi,Alxacaura,27.64117716,85.56460923,Alxacaura4,spring,private,agriculture,"Tetapatee,katus,katus",active,perennial,,,,,,open_kuwa,seepage,soil/sediment,1,40,550,35,4,13,decreasing,,,,,good,no_change,yes,agriculture,2,BCTS,,,decreased,no,,,no,0,yes,0,no,,,,no,0,Samraxad garnuupare xa
4423,Kavrepalanchowk,Dhulikhel,6,Dhulikhel,Sidartha marga,27.6133866666667,85.54755,Sidartha marga,spring,private,settlement,Bari titepate sisnu,dried,perennial,2060,Infrastructure Development,yes,trench-pit,water_lifting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4424,Kavrepalanchowk,Dhulikhel,6,Dhulikhel,Sidartha marg 1,27.6132266666667,85.5474883333333,Sidartha marg 1,spring,private,settlement,Sisnu titepate bari,active,perennial,,,,,,open_kuwa,seepage,soil/sediment,1,25,100,5,5,8,decreasing,,,,,poor,degraded,no,,,,,,decreased,no,,,no,,yes,,no,,,,no,,Dherai bigreko
4425,Kavrepalanchowk,Dhulikhel,6,Dhulikhel,Sidartha daldal,27.6128233333333,85.547335,Sidartha daldal,spring,private,settlement,Jhar sisnu ghas,active,perennial,,,,,,open_kuwa,seepage,interface between rock and sediment,1,45,100,10,5,15,decreasing,,,,,poor,degraded,no,,,,,,decreased,no,,,no,,yes,,no,,,,no,,Daldal vayekole prayokma xhhena
4426,Kavrepalanchowk,Dhulikhel,6,Dhulikhek,Korkhel mul,27.611625,85.5473,Korkhel mul,spring,private,agriculture,Aalu kheti,active,perennial,,,,,,open_kuwa,seepage,soil/sediment,1,20,500,30,5,7,decreasing,,,,,poor,degraded,no,,,,,,decreased,no,,,no,,yes,,no,,,,no,,Jangal vako
4427,Kavrepalanchowk,Dhulikhel,6,Dhulikhel,Korkhel2,27.610475,85.54611,Korkhel2,spring,private,agriculture,ghas sag aalu kheti,active,perennial,,,,,,open_kuwa,seepage,soil/sediment,1,60,500,30,5,20,decreasing,,,,,poor,degraded,no,,,,,,decreased,no,,,no,,yes,,no,,,,no,,Fohor vayekole prayogmaxhena
4428,Kavrepalanchowk,Dhulikhel,6,Dhulikhel,Korkhel३,27.61076,85.54548,Korkhel३,spring,private,agriculture,Aalu kheti sisnu,active,perennial,,,,,,open_kuwa,seepage,soil/sediment,1,50,300,60,7,18,decreasing,,,,,poor,degraded,no,,,,,,decreased,no,,,no,,yes,,no,,,,no,,Kheti garne tara pani ko kam vayera prayogma xhhena
4429,Kavrepalanchowk,Dhulikhel,6,Dhulikhel,Korkhel4,27.61017,85.5434916666667,Korkhel4,spring,private,agriculture,aalu kheti ghas titepate,active,perennial,,,,,,open_kuwa,seepage,soil/sediment,1,60,500,30,10,20,decreasing,,,,,poor,degraded,no,,,,,,decreased,no,,,no,,yes,,no,,,,no,,Pani fohor vako abastha
4430,Kavrepalanchowk,Dhulikhel,6,dhulikhel,Siddhartha marga,27.613165,85.5475516666667,Dari baa ko kuwa,spring,private,agriculture,banmara simsag dubo,active,perennial,,,,,,open_kuwa,seepage,soil/sediment,1,120,5,2,3,40,decreasing,,,,,poor,degraded,no,,,,,,decreased,no,,,no,,yes,,no,,,,no,,
4431,Kavrepalanchowk,Dhulikhel,6,Dhulikhel,Siddhartha marga,27.61311,85.5472633333333,Surendra ko khet,spring,private,agriculture,Dubo.Banmara tetepati,active,perennial,,,,,,open_kuwa,seepage,soil/sediment,1,300,100,6,12,100,decreasing,,,,,poor,degraded,no,,,,,,decreased,no,,,no,,yes,,no,,,,no,,
4432,Kavrepalanchowk,Dhulikhel,6,dhulikhel ,Siddrthamarhga,27.61303,85.5473866666667,Siddrthamarhga,spring,private,agriculture,Dubo simsagbanmaea,active,perennial,,,,,,open_kuwa,seepage,soil/sediment,1,30,50,3,8,10,decreasing,,,,,poor,degraded,no,,,,,,decreased,no,,,no,,yes,,no,,,,no,,
4433,Kavrepalanchowk,Dhulikhel,6,Dhulikhel,Suwal,27.6110566666667,85.5437533333333,Mohan baa ko mul,spring,private,agriculture,Dubo tetepati aaeselu,active,perennial,,,,,,open_kuwa,seepage,soil/sediment,1,360,250,20,10,120,decreasing,,,,,poor,degraded,no,,,,,,decreased,no,,,no,,yes,,no,,,,no,,
4434,Kavrepalanchowk,Dhulikhel,6,Dhulikhel,Suwal,27.6102383333333,85.5435416666667,sujan dai ko mul,spring,private,agriculture,Leu uneu utes,active,perennial,,,,,,open_kuwa,seepage,soil/sediment,1,120,250,10,5,40,decreasing,,,,,poor,degraded,no,,,,,,decreased,no,,,no,,yes,,no,,,,no,,
4435,Kavrepalanchowk,Dhulikhel,6,Dhulikhel,Suwal,27.60994,85.543445,pari kuwa,spring,community,sparse_forest,Unew banmara utis,active,perennial,,,,,,open_kuwa,seepage,soil/sediment,1,240,300,20,5,80,decreasing,,,,,good,degraded,no,,,,,,decreased,no,,,no,,yes,,no,,,,no,,
4436,Kavrepalanchowk,Dhulikhel,6,Dhulikhel,Suwal,27.609765,85.5432716666667,suwal gau simsar,spring,community,sparse_forest,Utes payou unew,active,perennial,,,,,,open_kuwa,flowing,soil/sediment,1,180,300,15,3,60,decreasing,,,,,good,degraded,yes,agriculture,40,Mixed,25,Mixed,decreased,no,,,no,,yes,,no,,,,no,,yo thaubata 300mitter mathe muhan haru xaa
4437,Kavrepalanchowk,Dhulikhel,2,Rabi,Salvote,27.63748157,85.56387297,Salvote,spring,public,sparse_forest,"Celaune,tetapate,kalimunta",active,perennial,,,,,,cemented_tank,seepage,soil/sediment,1,60,300,20,5,20,decreasing,,,,,good,degraded,yes,"drinking,household,livestock,agriculture",7,"Dalit,Janajati",,,decreased,no,,,no,0,yes,0,no,,,,yes,trench-pit,Samraxad garnnuparne xa
4438,Kavrepalanchowk,Dhulikhel,2,Rabi,Khatri tol,27.63945407,85.55109051,Khatri tol mul,spring,private,agriculture,"Tetapate,kalimunte,utes",active,perennial,,,,,,open_kuwa,seepage,soil/sediment,1,30,400,30,2,10,decreasing,,,,,good,degraded,yes,agriculture,10,BCTS,,,decreased,no,,,no,0,yes,0,no,,,,no,0,Samraxad garnuparne xa
4439,Kavrepalanchowk,Dhulikhel,2,Rabi,Khatri tol,27.64140629,85.54701516,Sesne khola mul,spring,public,sparse_forest,"Utes,tetapate,kutmero",active,perennial,,,,,,cemented_tank,seepage,soil/sediment,1,5,1000,60,1,2,decreasing,,,,,good,improved,yes,"drinking,household,livestock,agriculture,recreation",200,mixed,1,janajati,decreased,yes,same,same,no,0,yes,0,yes,formal,male,treasurer,yes,recharge_pond_construction,Samraxad garnnuparne xa
4440,Kavrepalanchowk,Dhulikhel,4,Bhakundol,Ratmaty,27.6207783333333,85.5433416666667,Jaya dao,pond,private,agriculture,Aalu rayo ghas,active,seasonal,,,,,,,,,,,,,,,,30,1,40,2,poor,degraded,yes,"agriculture,livestock",1,Janajati,1,Janajati,,no,,,no,,yes,,no,,,,no,,Niji
4441,Kavrepalanchowk,Dhulikhel,4,Bhakundol,Ratmty,27.6208333333333,85.543495,Parks adikari,pond,private,agriculture,Aalu lasun bakula,active,seasonal,,,,,,,,,,,,,,,,30,1,40,2,poor,degraded,yes,agriculture,1,BCTS,1,BCTS,,no,,,no,,yes,,no,,,,no,,Niji
4442,Kavrepalanchowk,Dhulikhel,4,Bhakundol,Dabithan,27.6229383333333,85.5403766666667,Dabi tjan ko kuwa,spring,community,settlement,Bambo jaiful pipal,dried,seasonal,2045,drought,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4443,Kavrepalanchowk,Dhulikhel,4,Bhakundol,Tolagy tol,27.6246016666667,85.5392633333333,Ram sarn tolangy,spring,private,settlement,Jaiful abokado lasun,dried,seasonal,2072,Infrastructure Development,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4444,Kavrepalanchowk,Dhulikhel,4,Bhakundol,Ratmty,27.6190433333333,85.5435733333333,Polti ko sim,spring,private,agriculture,Jaie aalu tinpaty,active,seasonal,,,,,,open_kuwa,seepage,soil/sediment,1,1800,50,3,10,600,decreasing,,,,,poor,degraded,no,,,,,,decreased,no,,,no,,yes,,no,,,,no,,
4445,Kavrepalanchowk,Dhulikhel,12,सललेनि  ,सललेनि  १,27.5854154662581,85.570609027343,सललेनि,spring,public,dense_forest,"उतिस,गुरास,हाडिबेद",active,perennial,,,,,,open_kuwa,flowing,soil/sediment,1,200,1000,30,5,80,decreasing,,,,,good,degraded,yes,"household,drinking,livestock,agriculture",20,BCTS,,,decreased,yes,same,same,no,,yes,,no,,,,no,,समुदायकाे  चासाेमा  काि
4446,Kavrepalanchowk,Dhulikhel,12,सललेनि,सललेनि  २,27.58507,85.57028,सलेलनि  २,spring,public,sparse_forest,"सलला  उतिस,उनिउ",dried,seasonal,2080,drought,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4447,Kavrepalanchowk,Dhulikhel,12,सललेनि ,सललेनि,27.5850666666667,85.5701516666667,सललेनि ३  मुल,spring,public,dense_forest,"सलला  ,उतिस  उनिउ",active,perennial,,,,,,open_kuwa,flowing,soil/sediment,1,300,1000,30,5,100,decreasing,,,,,good,no_change,yes,"household,drinking,livestock",15,Janajati,10,Janajati,decreased,yes,same,same,no,,yes,,no,,,,no,,समरक्षणकाे  कमि
4448,Kavrepalanchowk,Dhulikhel,12,सललेनि,सललेनि,27.5822983333333,85.5722433333333,sallene 8,spring,public,sparse_forest,"सलला,उनिउ,घास",dried,seasonal,2080,drought,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4449,Kavrepalanchowk,Dhulikhel,12,सललेनि,सललेनि,27.582345,85.5722233333333,सललेनि  मुल ४कलझारसर,spring,public,sparse_forest,"कालझार,सलला,उनिउ",dried,perennial,2068,drought,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4450,Kavrepalanchowk,Dhulikhel,12,सललेनि,सललेनि,27.5801233333333,85.57152,सललेनि५,spring,public,sparse_forest,"कालझार,घास",active,perennial,,,,,,closed_kuwa,seepage,soil/sediment,1,300,100,2,5,100,decreasing,,,,,good,degraded,yes,"drinking,household,livestock",5,BCTS,3,BCTS,decreased,no,,,no,,yes,,no,,,,no,,समरक्षण  कमि
4451,Kavrepalanchowk,Dhulikhel,12,सललेनि,सललेनि,27.58004,85.5731616666667,सललेनि मुल६,spring,public,sparse_forest,"कालझनर,उनिउ,",dried,seasonal,2080,drought,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4452,Kavrepalanchowk,Dhulikhel,12,सललेनि,सललेनि,27.5801183333333,85.5731383333333,सललेनि मु  ७,spring,public,sparse_forest,"बास,कालझार,उनिउ",dried,seasonal,2080,drought,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4453,Kavrepalanchowk,Dhulikhel,12,ढलपु,ढलपु,27.5798683333333,85.5679133333333,ढलपु  कुवा,spring,private,agriculture,घास  कालझर,dried,perennial,2073,earthquake,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4454,Kavrepalanchowk,Dhulikhel,12,शङखु  फेदि,फेदि,27.574375,85.5727666666667,शङखु फेदि  कुवा  ,spring,community,agriculture,घास  दुबाे,active,perennial,,,,,,closed_kuwa,seepage,soil/sediment,1,15,50,2,3,5,decreasing,,,,,good,degraded,no,,,,,,decreased,no,,,no,,yes,,no,,,,no,,समरक्षण  गर्नु  पर्ने  
4455,Kavrepalanchowk,Dhulikhel,3,Nayabasti,Chankhubesi,27.63014,85.5595583333333,Rama unti ko ghar muni ko mul,spring,public,sparse_forest,"Titepati,banmara,kaligedi kada",dried,perennial,2072,earthquake,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4456,Kavrepalanchowk,Dhulikhel,3,Nayabasti,Chankhubesi,27.6308433333333,85.5586083333333,Dada muni ko mul,spring,private,agriculture,"Musekhari,titepati,chaluni",dried,perennial,2074,Infrastructure Development,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4457,Kavrepalanchowk,Dhulikhel,3,Nayabasti,Chankhubesi,27.62996,85.55597,Khate ko mul,spring,private,agriculture,"Padhalu,titepati,banmara",active,perennial,,,,,,open_kuwa,seepage,interface between rock and sediment,1,60,500,15,20,20,same,,,,,good,no_change,yes,"drinking,agriculture",4,"BCTS,Newar",,,no_change,no,,,no,,yes,,no,,,,no,,no
4458,Kavrepalanchowk,Dhulikhel,3,Nayabasti,Chankhubaesi,27.630045,85.5562483333333,Ghimera ba ko khate ko mul,spring,private,agriculture,"Banmara,musekhari,dhunga ghar",active,perennial,,,,,,open_kuwa,seepage,rock,1,60,800,20,20,20,same,,,,,good,no_change,yes,"drinking,agriculture",5,BCTS,,,no_change,no,,,no,,yes,,no,,,,no,,no
4459,Kavrepalanchowk,Dhulikhel,3,Nayabasti,Chankhubaesi,27.6295433333333,85.5562016666667,Bashko ghang ko mul,spring,private,sparse_forest,"Bash,banmara,uttish",dried,perennial,2073,drought,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4460,Kavrepalanchowk,Dhulikhel,3,Nayabasti,Chankhubesi,27.6286466666667,85.5554266666667,Ghampa kholsa xau ko mul,spring,public,sparse_forest,"Titepati,banmara,dhunga ghar",active,perennial,,,,,,open_kuwa,seepage,interface between rock and sediment,1,30,900,15,10,10,same,,,,,good,no_change,no,,,,,,no_change,yes,same,same,no,,yes,,no,,,,no,,no
4461,Kavrepalanchowk,Dhulikhel,3,Nayabasti,Chankhubaesi,27.6294066666667,85.556355,Nepal ko bari ko bhitako mul,spring,private,grassland,"Titepati,kuttush,pani aamala",dried,perennial,2063,drought,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4462,Kavrepalanchowk,Dhulikhel,3,Nayabasti,Chankhubesi,27.6261066666667,85.5568016666667,Kutmiro muni ko mul,spring,public,agriculture,"Kutmiro,banmara,titepati",active,perennial,,,,,,open_kuwa,seepage,interface between rock and sediment,1,120,20,2,20,40,decreasing,,,,,good,degraded,yes,"drinking,agriculture,household",1,BCTS,1,BCTS,decreased,yes,same,same,no,,yes,,no,,,,no,,no
4463,Kavrepalanchowk,Dhulikhel,3,Nayabasti,Chankhubaesi,27.6282916666667,85.5516916666667,Ghimire dai ko road muni ko mul,spring,private,sparse_forest,"Banmara , uttis , chilaune ",active,perennial,,,,,,cemented_tank,seepage,interface between rock and sediment,1,20,600,20,6,6,same,,,,,good,improved,yes,"household,drinking,livestock,agriculture",4,"BCTS,Janajati",4,"BCTS,Janajati",no_change,yes,same,same,no,,yes,,no,,,,yes,source_protection,no
4464,Kavrepalanchowk,Dhulikhel,3,Nayabasti,Parajuli gau,27.6280916666667,85.5507133333333,Khola xeu ko mul parajuli gau,spring,private,sparse_forest,"Banmara , titepati , chilaune ",dried,perennial,2066,natural_disaster,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4465,Kavrepalanchowk,Dhulikhel,8,pakucha,tallo vle tol,27.6209533333333,85.566215,rasayeko kuwa,spring,private,sparse_forest,bas banmara  padh,dried,seasonal,2079,natural_disaster,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4466,Kavrepalanchowk,Dhulikhel,8,damping side,ghising tol,27.6196366666667,85.5583283333333,ghising tolko khane pani,spring,public,sparse_forest,chilaune katush salla,active,perennial,,,,,,open_kuwa,seepage,soil/sediment,1,30,1250,30,10,10,same,,,,,good,no_change,yes,"drinking,household,livestock",6,Janajati,6,Janajati,no_change,yes,same,same,no,,yes,,no,,,,no,,pani dherae sano vayera samsya vako xa
4467,Kavrepalanchowk,Dhulikhel,8,adhikari tol,pakucha,27.6176416666667,85.5657666666667,ram badurkokhane pani,spring,private,agriculture,utish  titepati  gharpat,active,perennial,,,,,,open_kuwa,seepage,soil/sediment,1,15,300,5,5,5,same,,,,,poor,no_change,no,,,,,,no_change,yes,same,same,no,,yes,,no,,,,no,,ramro banane suja b
4468,Kavrepalanchowk,Dhulikhel,8,pakucha,tamang tol,27.61771,85.56567,tamang tolko khane pani,spring,private,agriculture,utish banmara tite pati,active,perennial,,,,,,open_kuwa,seepage,soil/sediment,1,5,500,10,2,2,same,,,,,good,degraded,yes,"household,drinking,livestock",10,Janajati,10,Janajati,no_change,yes,same,same,no,,yes,,no,,,,no,,tholo tyanki banane yojanama  xa
4469,Kavrepalanchowk,Dhulikhel,8,pakucha,gaero tol,27.6176383333333,85.5660166666667,manojko khane pani,spring,private,agriculture,banamara utish dhubo,active,perennial,,,,,,open_kuwa,seepage,soil/sediment,1,5,600,20,2,2,same,,,,,good,no_change,yes,"drinking,agriculture,livestock",1,BCTS,1,BCTS,no_change,yes,same,same,no,,yes,,no,,,,no,,tyanki banaunajanakari
